Name,T,0,1,2,3,4,5,Defender,Attacker,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile
FRL1_vs_suqr1-12.311-0.187,200,0.77,0.908,0.962,0.933,0.712,0.799,FRL1,suqr1-12.311-0.187,suqr1-8.64-0.303,sto1-0.413-0.065-0.137-0.03-0.25-0.105,sta1,suqr1-14.249-0.389,sto1-0.321-0.107-0.211-0.046-0.176-0.139,sto1-0.59-0.068-0.045-0.129-0.102-0.066,sto1-0.278-0.001-0.123-0.42-0.08-0.098,suqr1-13.492-0.413,suqr1-11.094-0.798,suqr1-9.674-0.991,suqr1-8.332-0.821,sto1-0.204-0.155-0.288-0.262-0.087-0.004,sto1-0.013013013013013013-0.06506506506506507-0.6696696696696697-0.1081081081081081-0.13013013013013014-0.014014014014014014,sto1-0.3876123876123876-0.1978021978021978-0.03696303696303696-0.12487512487512487-0.04095904095904095-0.21178821178821175,suqr1-8.06-0.622,sto1-0.17482517482517484-0.28771228771228774-0.10889110889110891-0.03796203796203797-0.017982017982017984-0.37262737262737267,suqr1-6.572-0.879,sto1-0.236-0.104-0.084-0.415-0.029-0.132,suqr1-7.688-0.9,sto1-0.11088911088911091-0.2167832167832168-0.03996003996003997-0.1158841158841159-0.3846153846153847-0.1318681318681319
FB1_vs_suqr1-12.311-0.187,200,0.77,0.908,0.962,0.933,0.712,0.799,FB1,suqr1-12.311-0.187,suqr1-8.64-0.303,sto1-0.413-0.065-0.137-0.03-0.25-0.105,sta1,suqr1-14.249-0.389,sto1-0.321-0.107-0.211-0.046-0.176-0.139,sto1-0.59-0.068-0.045-0.129-0.102-0.066,sto1-0.278-0.001-0.123-0.42-0.08-0.098,suqr1-13.492-0.413,suqr1-11.094-0.798,suqr1-9.674-0.991,suqr1-8.332-0.821,sto1-0.204-0.155-0.288-0.262-0.087-0.004,sto1-0.013013013013013013-0.06506506506506507-0.6696696696696697-0.1081081081081081-0.13013013013013014-0.014014014014014014,sto1-0.3876123876123876-0.1978021978021978-0.03696303696303696-0.12487512487512487-0.04095904095904095-0.21178821178821175,suqr1-8.06-0.622,sto1-0.17482517482517484-0.28771228771228774-0.10889110889110891-0.03796203796203797-0.017982017982017984-0.37262737262737267,suqr1-6.572-0.879,sto1-0.236-0.104-0.084-0.415-0.029-0.132,suqr1-7.688-0.9,sto1-0.11088911088911091-0.2167832167832168-0.03996003996003997-0.1158841158841159-0.3846153846153847-0.1318681318681319
