Name,T,0,1,2,3,4,Defender,Attacker,Profile,Profile,Profile,Profile,Profile,Profile,Obs0,Obs1,Obs2,Obs3,Obs4,Feed_prob0,Feed_prob1,Feed_prob2,Feed_prob3,Feed_prob4,Feed_type
Full_feedback,1000,0.926,0.761,0.984,0.633,0.67,FB1,sto1-0.2677322677322677-0.32867132867132864-0.12387612387612386-0.16683316683316682-0.11288711288711288,sto1-0.103-0.565-0.048-0.201-0.083,sto1-0.014-0.288-0.058-0.341-0.299,sto1-0.2677322677322677-0.32867132867132864-0.12387612387612386-0.16683316683316682-0.11288711288711288,sto1-0.093-0.128-0.126-0.238-0.415,sto1-0.014014014014014014-0.6216216216216216-0.20420420420420418-0.11011011011011011-0.05005005005005005,sta1,1,1,1,1,1,1,1,1,1,1,full
MAB_feedback,1000,0.926,0.761,0.984,0.633,0.67,FB1,sto1-0.2677322677322677-0.32867132867132864-0.12387612387612386-0.16683316683316682-0.11288711288711288,sto1-0.103-0.565-0.048-0.201-0.083,sto1-0.014-0.288-0.058-0.341-0.299,sto1-0.2677322677322677-0.32867132867132864-0.12387612387612386-0.16683316683316682-0.11288711288711288,sto1-0.093-0.128-0.126-0.238-0.415,sto1-0.014014014014014014-0.6216216216216216-0.20420420420420418-0.11011011011011011-0.05005005005005005,sta1,1,1,1,1,1,1,1,1,1,1,mab
