,exp_loss,actual_regret,exp_regret
0,0.95,-0.05000000000000028,-3.7007434154171884e-18
1,0.9499999999999995,-5.773159728050814e-16,-2.812564995717063e-16
2,0.9499999999999995,-0.05000000000000087,-5.551115123125783e-16
3,0.9499999999999996,-0.06666666666666782,-8.104628079763643e-16
4,0.9499999999999996,-0.016666666666668106,-1.03990889973223e-15
5,0.9499999999999995,-1.7393494052460785e-15,-1.2582527612418441e-15
6,0.9499999999999996,0.01666666666666462,-1.4839981095822926e-15
7,0.9499999999999997,0.03333333333333102,-1.6875389974302379e-15
8,0.9499999999999997,0.04999999999999744,-1.86887542478568e-15
9,0.9499999999999997,-0.06666666666666951,-2.016905161402368e-15
10,0.9499999999999998,-0.11666666666666985,-2.146431180941969e-15
11,0.9499999999999998,-0.20000000000000343,-2.2278475360811474e-15
12,0.9499999999999998,-0.1833333333333371,-2.3240668648819944e-15
13,0.9499999999999998,-0.16666666666667068,-2.394380989774921e-15
14,0.9499999999999998,-0.1500000000000042,-2.4646951146678474e-15
15,0.9499999999999998,-0.16666666666667113,-2.5461114698070257e-15
16,0.9499999999999998,-0.15000000000000469,-2.609024107869118e-15
17,0.9499999999999998,-0.10000000000000492,-2.6645352591003757e-15
18,0.9499999999999998,-0.08333333333333857,-2.727447897162468e-15
19,0.9499999999999998,-0.10000000000000546,-2.79036053522456e-15
20,0.9499999999999998,-0.11666666666667232,-2.8347694562095666e-15
21,0.95,-0.10000000000000592,-2.864375403532904e-15
22,0.95,-0.11666666666667284,-2.8717768903637383e-15
23,0.95,-0.13333333333333972,-2.868076146948321e-15
24,0.95,-0.15000000000000663,-2.886579864025407e-15
25,0.95,-0.16666666666667354,-2.886579864025407e-15
26,0.95,-0.18333333333334043,-2.9161858113487444e-15
27,0.95,-0.23333333333334075,-2.905083581102493e-15
28,0.95,-0.35000000000000764,-2.905083581102493e-15
29,0.95,-0.36666666666667447,-2.90878432451791e-15
30,0.95,-0.38333333333334135,-2.8754776337791553e-15
31,0.95,-0.33333333333334164,-2.8754776337791553e-15
32,0.95,-0.31666666666667526,-2.8569739167020696e-15
33,0.95,-0.30000000000000876,-2.864375403532904e-15
34,0.95,-0.2833333333333423,-2.8569739167020696e-15
35,0.95,-0.2666666666666759,-2.8495724298712353e-15
36,0.95,-0.2500000000000095,-2.8384701996249835e-15
37,0.95,-0.2666666666666764,-2.8347694562095666e-15
38,0.95,-0.2166666666666766,-2.827367969378732e-15
39,0.95,-0.2333333333333435,-2.812564995717063e-15
40,0.95,-0.2833333333333437,-2.7977620220553944e-15
41,0.95,-0.3000000000000107,-2.7977620220553944e-15
42,0.95,-0.2833333333333442,-2.8014627654708118e-15
43,0.95,-0.23333333333334447,-2.812564995717063e-15
44,0.95,-0.2833333333333447,-2.823667225963315e-15
45,0.95,-0.36666666666667813,-2.8347694562095666e-15
46,0.95,-0.35000000000001186,-2.845871686455818e-15
47,0.95,-0.33333333333334536,-2.8569739167020696e-15
48,0.95,-0.41666666666667906,-2.8569739167020696e-15
49,0.95,-0.4000000000000124,-2.864375403532904e-15
50,0.95,-0.4166666666666795,-2.8828791206099896e-15
51,0.95,-0.36666666666667963,-2.8976820942716587e-15
52,0.95,-0.38333333333334657,-2.9013828376870757e-15
53,0.95,-0.3666666666666801,-2.8902806074408244e-15
54,0.95,-0.3500000000000137,-2.8902806074408244e-15
55,0.95,-0.40000000000001373,-2.9013828376870757e-15
56,0.95,-0.45000000000001417,-2.9124850679333274e-15
57,0.95,-0.5000000000000143,-2.9161858113487444e-15
58,0.95,-0.5500000000000147,-2.90878432451791e-15
59,0.95,-0.533333333333348,-2.8939813508562414e-15
60,0.95,-0.5166666666666818,-2.868076146948321e-15
61,0.95,-0.4666666666666818,-2.8532731732866522e-15
62,0.95,-0.5166666666666823,-2.8495724298712353e-15
63,0.95,-0.633333333333349,-2.831068712794149e-15
64,0.95,-0.6833333333333493,-2.8162657391324805e-15
65,0.95,-0.700000000000016,-2.808864252301646e-15
66,0.95,-0.7166666666666831,-2.7977620220553944e-15
67,0.95,-0.7000000000000165,-2.7829590483937257e-15
68,0.95,-0.7166666666666834,-2.7644553313166396e-15
69,0.95,-0.7666666666666836,-2.745951614239554e-15
70,0.95,-0.7500000000000172,-2.7422508708241366e-15
71,0.95,-0.8000000000000177,-2.727447897162468e-15
72,0.95,-0.7500000000000178,-2.712644923500799e-15
73,0.95,-0.7666666666666846,-2.705243436669965e-15
74,0.95,-0.7166666666666845,-2.694141206423713e-15
75,0.95,-0.766666666666685,-2.6793382327620444e-15
76,0.95,-0.7166666666666852,-2.6867397195928787e-15
77,0.95,-0.7666666666666856,-2.690440463008296e-15
78,0.95,-0.7500000000000189,-2.690440463008296e-15
79,0.95,-0.7000000000000189,-2.6756374893466274e-15
80,0.95,-0.683333333333353,-2.6645352591003757e-15
81,0.95,-0.6666666666666863,-2.653433028854124e-15
82,0.95,-0.6500000000000198,-2.653433028854124e-15
83,0.95,-0.7000000000000202,-2.6571337722695413e-15
84,0.95,-0.6833333333333536,-2.6460315420232896e-15
85,0.95,-0.7000000000000206,-2.6460315420232896e-15
86,0.95,-0.6833333333333542,-2.649732285438707e-15
87,0.95,-0.6666666666666877,-2.6423307986078726e-15
88,0.95,-0.616666666666688,-2.631228568361621e-15
89,0.95,-0.6000000000000214,-2.6201263381153696e-15
90,0.95,-0.5500000000000217,-2.609024107869118e-15
91,0.95,-0.5333333333333551,-2.597921877622866e-15
92,0.95,-0.5166666666666888,-2.586819647376615e-15
93,0.95,-0.4666666666666889,-2.575717417130363e-15
94,0.95,-0.5166666666666893,-2.5683159302995287e-15
95,0.95,-0.5666666666666894,-2.5646151868841118e-15
96,0.95,-0.550000000000023,-2.5609144434686944e-15
97,0.95,-0.5333333333333565,-2.5572137000532774e-15
98,0.95,-0.48333333333335676,-2.55351295663786e-15
99,0.95,-0.4666666666666904,-2.5498122132224427e-15
