Name,T,0,1,2,3,4,Defender,Attacker,Profile,Profile,Profile,Profile,Profile,Profile,Obs0,Obs1,Obs2,Obs3,Obs4,Feed_prob0,Feed_prob1,Feed_prob2,Feed_prob3,Feed_prob4,Feed_type
Full_feedback,1000,0.842,0.738,0.96,0.676,0.637,FB1,suqr1-11.757-0.499,suqr1-13.822-0.733,suqr1-6.438-0.819,suqr1-11.757-0.499,suqr1-6.608-0.62,suqr1-14.35-0.644,sta1,1,1,1,1,1,1,1,1,1,1,full
MAB_feedback,1000,0.842,0.738,0.96,0.676,0.637,FB1,suqr1-11.757-0.499,suqr1-13.822-0.733,suqr1-6.438-0.819,suqr1-11.757-0.499,suqr1-6.608-0.62,suqr1-14.35-0.644,sta1,1,1,1,1,1,1,1,1,1,1,mab
