,exp_loss,actual_regret,exp_regret
0,0.914,0.23015956818180916,0.23015956818180916
1,0.94,0.48631913636361823,0.48631913636361823
2,0.94,0.7424787045454273,0.7424787045454273
3,0.94,0.9986382727272364,0.9986382727272364
4,0.914,1.2287978409090456,1.2287978409090456
5,0.914,1.4589574090908548,1.4589574090908548
6,0.94,1.7151169772726638,1.7151169772726638
7,0.914,1.945276545454473,1.945276545454473
8,0.94,2.201436113636282,2.201436113636282
9,0.914,2.431595681818091,2.431595681818091
10,0.94,2.6877552499999,2.6877552499999
11,0.914,2.917914818181709,2.917914818181709
12,0.94,3.174074386363518,3.174074386363518
13,0.914,3.4042339545453273,3.4042339545453273
14,0.914,3.6343935227271364,3.6343935227271364
15,0.94,3.8905530909089454,3.8905530909089454
16,0.914,4.120712659090755,4.120712659090755
17,0.6838404318181909,4.164872227272563,4.120712659090755
18,0.6838404318181909,4.209031795454372,4.120712659090755
19,0.6838404318181909,4.253191363636181,4.120712659090755
20,0.6838404318181909,3.93335093181799,4.120712659090755
21,0.6838404318181909,3.6135104999997987,4.120712659090755
22,0.6838404318181909,3.6576700681816083,4.120712659090755
23,0.6838404318181909,3.701829636363417,4.120712659090755
24,0.6838404318181909,3.7459892045452268,4.120712659090755
25,0.6838404318181909,3.7901487727270355,4.120712659090755
26,0.6838404318181909,3.834308340908845,4.120712659090755
27,0.6838404318181909,3.878467909090654,4.120712659090755
28,0.6838404318181909,3.9226274772724636,4.120712659090755
29,0.6838404318181909,3.9667870454542724,4.120712659090755
30,0.6838404318181909,4.010946613636081,4.120712659090755
31,0.6838404318181909,4.055106181817891,4.120712659090755
32,0.6838404318181909,4.099265749999699,4.120712659090755
33,0.6838404318181909,3.779425318181508,4.120712659090755
34,0.6838404318181909,3.8235848863633173,4.120712659090755
35,0.6838404318181909,3.867744454545126,4.120712659090755
36,0.6838404318181909,3.911904022726935,4.120712659090755
37,0.6838404318181909,3.956063590908744,4.120712659090755
38,0.6838404318181909,4.000223159090553,4.120712659090755
39,0.6838404318181909,4.044382727272362,4.120712659090755
40,0.6838404318181909,4.088542295454171,4.120712659090755
41,0.6838404318181909,4.13270186363598,4.120712659090755
42,0.6838404318181909,4.176861431817789,4.120712659090755
43,0.6838404318181909,4.221020999999598,4.120712659090755
44,0.6838404318181909,4.265180568181407,4.120712659090755
45,0.6838404318181909,4.3093401363632164,4.120712659090755
46,0.6838404318181909,4.353499704545025,4.120712659090755
47,0.6838404318181909,4.397659272726834,4.120712659090755
48,0.6838404318181909,4.441818840908643,4.120712659090755
49,0.6838404318181909,4.4859784090904515,4.120712659090755
50,0.6838404318181909,4.53013797727226,4.120712659090755
51,0.6838404318181909,4.574297545454069,4.120712659090755
52,0.6838404318181909,4.618457113635878,4.120712659090755
53,0.6838404318181909,4.662616681817687,4.120712659090755
54,0.6838404318181909,4.706776249999495,4.120712659090755
55,0.6838404318181909,4.750935818181304,4.120712659090755
56,0.6838404318181909,4.795095386363113,4.120712659090755
57,0.6838404318181909,4.839254954544922,4.120712659090755
58,0.6838404318181909,4.8834145227267305,4.120712659090755
59,0.6838404318181909,4.927574090908539,4.120712659090755
60,0.6838404318181909,4.971733659090348,4.120712659090755
61,0.6838404318181909,5.015893227272157,4.120712659090755
62,0.6838404318181909,5.060052795453966,4.120712659090755
63,0.6838404318181909,5.104212363635774,4.120712659090755
64,0.6838404318181909,5.148371931817583,4.120712659090755
65,0.6838404318181909,5.192531499999392,4.120712659090755
66,0.6838404318181909,5.236691068181201,4.120712659090755
67,0.6838404318181909,5.280850636363009,4.120712659090755
68,0.6838404318181909,4.961010204544818,4.120712659090755
69,0.6838404318181909,5.005169772726627,4.120712659090755
70,0.6838404318181909,5.049329340908436,4.120712659090755
71,0.6838404318181909,5.093488909090245,4.120712659090755
72,0.6838404318181909,5.137648477272053,4.120712659090755
73,0.6838404318181909,5.181808045453862,4.120712659090755
74,0.6838404318181909,5.225967613635671,4.120712659090755
75,0.6838404318181909,5.27012718181748,4.120712659090755
76,0.6838404318181909,5.3142867499992885,4.120712659090755
77,0.6838404318181909,5.358446318181097,4.120712659090755
78,0.6838404318181909,5.402605886362906,4.120712659090755
79,0.6838404318181909,5.446765454544715,4.120712659090755
80,0.6838404318181909,5.126925022726524,4.120712659090755
81,0.6838404318181909,4.807084590908333,4.120712659090755
82,0.6838404318181909,4.851244159090141,4.120712659090755
83,0.6838404318181909,4.895403727271951,4.120712659090755
84,0.6838404318181909,4.93956329545376,4.120712659090755
85,0.6838404318181909,4.983722863635569,4.120712659090755
86,0.6838404318181909,4.6638824318173775,4.120712659090755
87,0.6838404318181909,4.708041999999187,4.120712659090755
88,0.6838404318181909,4.752201568180996,4.120712659090755
89,0.6838404318181909,4.796361136362805,4.120712659090755
90,0.6838404318181909,4.8405207045446135,4.120712659090755
91,0.6838404318181909,4.884680272726422,4.120712659090755
92,0.6838404318181909,4.928839840908232,4.120712659090755
93,0.6838404318181909,4.972999409090041,4.120712659090755
94,0.6838404318181909,5.0171589772718495,4.120712659090755
95,0.6838404318181909,5.061318545453659,4.120712659090755
96,0.6838404318181909,4.741478113635468,4.120712659090755
97,0.6838404318181909,4.785637681817276,4.120712659090755
98,0.6838404318181909,4.8297972499990856,4.120712659090755
99,0.6838404318181909,4.873956818180893,4.120712659090755
